state_alpha,statename,center_infant_old,center_infant,center_4yearold_old,center_4yearold,year,cpi
AL,Alabama,7871,8060.553899,7268,7443.03211,2024,174.4
AK,Alaska,20943,21447.36124,16768,17171.81651,2025,178.6
AZ,Arizona,15625,16001.29014,12152,12444.65138,,
AR,Arkansas,8873,9086.684633,7670,7854.713303,,
CA,California,21945,22473.49197,13020,13333.55505,,
CO,Colorado,21840,22365.9633,15992,16377.12844,,
CT,Connecticut,20254,20741.76835,16493,16890.19381,,
DE,Delaware,16220,16610.61927,12168,12461.0367,,
DC,District of Columbia,28356,29038.88532,22714,23261.01147,,
FL,Florida,13021,13334.57913,9548,9777.940367,,
GA,Georgia,11863,12148.69151,10359,10608.47133,,
HI,Hawaii,21167,21676.75573,15224,15590.63303,,
ID,Idaho,9630,9861.915138,8117,8312.478211,,
IL,Illinois,16107,16494.89794,10947,11210.63188,,
IN,Indiana,14471,14819.49885,9925,10164.0195,,
IA,Iowa,9605,9836.313073,8276,8475.307339,,
KS,Kansas,9105,9324.271789,7963,8154.769495,,
KY,Kentucky,8756,8966.866972,7778,7965.31422,,
LA,Louisiana,8873,9086.684633,8153,8349.345183,,
ME,Maine,13310,13630.53899,11227,11497.375,,
MD,Maryland,18946,19402.26835,13355,13676.62271,,
MA,Massachusetts,26709,27352.22133,17939,18371.0172,,
MI,Michigan,10023,10264.37959,9007,9223.911697,,
MN,Minnesota,22569,23112.5195,17882,18312.6445,,
MS,Mississippi,6868,7033.399083,6251,6401.540138,,
MO,Missouri,13173,13490.23968,10332,10580.8211,,
MT,Montana,12778,13085.72706,11418,11692.97477,,
NE,Nebraska,14106,14445.70872,11863,12148.69151,,
NV,Nevada,15950,16334.11697,13268,13587.52752,,
NH,New Hampshire,17364,17782.16972,14437,14784.68005,,
NJ,New Jersey,18155,18592.21904,17534,17956.26376,,
NM,New Mexico,14244,14587.03211,9993,10233.65711,,
NY,New York,17361,17779.09748,14988,15348.94954,,
NC,North Carolina,11720,12002.24771,7744,7930.495413,,
ND,North Dakota,12373,12670.97362,10474,10726.24083,,
OH,Ohio,17071,17482.11353,13426,13749.33257,,
OK,Oklahoma,12468,12768.26147,10790,11049.85092,,
OR,Oregon,19064,19523.11009,13717,14047.3406,,
PA,Pennsylvania,13354,13675.59862,11798,12082.12615,,
RI,Rhode Island,16758,17161.57569,14193,14534.8039,,
SC,South Carolina,11512,11789.23853,10481,10733.4094,,
SD,South Dakota,8680,8889.036697,7893,8083.083716,,
TN,Tennessee,12249,12543.98739,8469,8672.955275,,
TX,Texas,10706,10963.82798,9664,9896.733945,,
UT,Utah,13094,13409.33716,9725,9959.202982,,
VT,Vermont,18836,19289.61927,18366,18808.30046,,
VA,Virginia,14277,14620.82683,10807,11067.26032,,
WA,Washington,20677,21174.95528,14413,14760.10206,,
WV,West Virginia,9692,9925.408257,9540,9769.747706,,
WI,Wisconsin,16956,17364.34404,14974,15334.61239,,
WY,Wyoming,9327,9551.618119,9006,9222.887615,,
