statefips,state_name,center_infant,center_4yearold
AL,Alabama,8273.995128,7640.716036
AK,Alaska,22015.72559,17626.57223
AZ,Arizona,16425.10613,12775.08254
AR,Arkansas,9327.633991,8062.87006
CA,California,23068.75739,13686.9801
CO,Colorado,22958.64835,16811.40029
CT,Connecticut,21291.80424,17337.61203
DE,Delaware,17050.47684,12790.89931
DC,District of Columbia,29808.52594,23877.23761
FL,Florida,13687.58844,10037.56486
GA,Georgia,12470.91391,10889.23703
HI,Hawaii,22251.15211,16004.13674
ID,Idaho,10123.34041,8532.538465
IL,Illinois,16931.85107,11507.91602
IN,Indiana,17322.19575,13172.98428
IA,Iowa,10097.18191,8700.43955
KS,Kansas,9570.970175,8370.720753
KY,Kentucky,9204.142805,8176.052829
LA,Louisiana,9327.63527,8570.863713
ME,Maine,13991.75707,11801.74292
MD,Maryland,19916.35369,14039.20738
MA,Massachusetts,28077.80642,18858.45519
MI,Michigan,10536.40141,9468.769515
MN,Minnesota,23725.1533,18797.62146
MS,Mississippi,7219.74665,6571.259126
MO,Missouri,13847.71597,10860.92844
MT,Montana,13432.69513,12003.10256
NE,Nebraska,14828.22081,12470.91391
NV,Nevada,16767.60001,13947.34845
NH,New Hampshire,18253.15961,15176.18973
NJ,New Jersey,19085.36498,18432.01076
NM,New Mexico,14973.78888,10505.24083
NY,New York,18250.11792,15755.93514
NC,North Carolina,12320.04627,8140.769267
ND,North Dakota,13006.85904,11010.90448
OH,Ohio,17945.94929,14113.42453
OK,Oklahoma,13107.23469,11342.44829
OR,Oregon,20041.06283,14420.02651
PA,Pennsylvania,14038.41682,12401.99742
RI,Rhode Island,17616.83883,14920.07974
SC,South Carolina,12101.65319,11018.20453
SD,South Dakota,9125.058961,8297.720282
TN,Tennessee,12876.67487,8903.015859
TX,Texas,11254.23938,10159.23231
UT,Utah,13764.84727,10223.71606
VT,Vermont,19801.1441,19306.62141
VA,Virginia,15008.89698,11360.69841
WA,Washington,21736.49878,15151.2479
WV,West Virginia,10189.04084,10028.4398
WI,Wisconsin,17824.28184,15740.72671
WY,Wyoming,9804.571685,9466.944503
